Year,Country,WEEK,AFR,PF,Unknown,DENV1,DENV2,DENV3,DENV4,ZIKV,CHIKV
2016,Fiji,Week23,17,29,0,0,0,0,0,1,3
2016,Fiji,Week24,19,22,0,0,0,0,0,2,2
2016,Fiji,Week25,7,13,0,0,0,0,0,0,0
2016,Fiji,Week26,6,15,0,0,0,0,0,0,2
2016,Fiji,Week27,3,11,0,0,1,0,0,0,2
2016,Fiji,Week28,2,9,1,0,2,0,0,1,1
2016,Fiji,Week29,4,7,0,0,2,0,0,1,2
2016,Fiji,Week30,2,15,0,0,0,0,0,0,2
2016,Fiji,Week31,2,20,0,0,0,0,0,1,0
2016,Fiji,Week32,2,7,0,0,0,0,0,0,0
2016,Fiji,Week33,14,1,0,0,1,0,0,0,0
2016,Fiji,Week34,3,5,0,0,0,0,0,0,0
2016,Fiji,Week35,8,4,0,0,0,0,0,0,0
2016,Fiji,Week36,4,6,0,0,0,0,0,0,0
2016,Fiji,Week37,8,12,0,0,0,0,0,0,0
2016,Fiji,Week38,8,3,0,0,0,0,0,0,0
2016,Fiji,Week39,1,5,0,0,0,0,0,0,0
2016,Fiji,Week40,0,1,0,0,0,0,0,0,0
2016,Fiji,Week41,0,8,0,0,0,0,0,0,0
2016,Fiji,Week42,0,6,0,0,0,0,0,0,0
2016,Fiji,Week43,1,6,0,0,0,0,0,0,0
2016,Fiji,Week44,0,5,0,0,0,0,0,0,0
2016,Fiji,Week45,2,7,0,0,0,0,0,0,0
2016,Fiji,Week46,1,3,0,0,0,0,0,0,0
2016,Fiji,Week47,0,7,0,0,0,0,0,0,0
2016,Fiji,Week48,1,2,0,0,0,0,0,0,0
2016,Fiji,Week49,,,2,0,4,0,0,0,0
2016,Fiji,Week50,0,6,1,0,1,0,0,0,0
2016,Fiji,Week51,,,1,0,2,0,0,0,0
2016,Fiji,Week52,,,4,0,3,0,0,0,0
2017,Fiji,Week01,1,3,0,0,3,0,0,0,0
2017,Fiji,Week02,0,3,5,0,6,0,0,0,0
2017,Fiji,Week03,0,9,1,0,1,0,0,0,0
2017,Fiji,Week04,1,14,1,,,,,0,0
2017,Fiji,Week05,2,13,,,,,,0,0
2017,Fiji,Week06,1,10,10,0,2,0,0,0,0
2017,Fiji,Week07,7,35,4,0,1,0,0,0,0
2017,Fiji,Week08,,,1,0,2,0,0,0,0
2017,Fiji,Week09,2,45,1,,,,,0,0
2017,Fiji,Week10,0,28,6,0,1,0,0,0,0
2017,Fiji,Week11,,45,1,0,1,0,0,0,0
2017,Fiji,Week12,1,91,,,,,,1,1
2017,Fiji,Week13,1,103,0,0,3,0,0,0,0
2017,Fiji,Week14,0,41,0,0,6,0,0,0,0
2017,Fiji,Week15,1,39,2,,,,,0,0
2017,Fiji,Week16,0,157,,,,,,0,0
2017,Fiji,Week17,1,22,1,,,,,0,0
2017,Fiji,Week18,0,30,44,,,,,0,1
2017,Fiji,Week19,2,24,68,,,,,0,0
2017,Fiji,Week20,4,64,0,,,,,0,0
2017,Fiji,Week21,1,19,0,,,,,0,0
2017,Fiji,Week22,0,18,0,,,,,0,0
2017,Fiji,Week23,1,36,1,,,,,0,0
2017,Fiji,Week24,0,279,0,,,,,0,0
2017,Fiji,Week25,0,259,0,,,,,0,0
2017,Fiji,Week26,0,17,,,,,,,
2017,Fiji,Week27,0,9,,,,,,,
2017,Fiji,Week28,0,24,,,,,,,
2017,Fiji,Week29,1,16,,,,,,,
2017,Fiji,Week30,0,40,,,,,,,
2017,Fiji,Week31,0,15,,,,,,,
2017,Fiji,Week32,0,10,,,,,,,
2017,Fiji,Week33,0,15,,,,,,,
2017,Fiji,Week34,1,4,,,,,,,
2017,Fiji,Week35,0,4,,,,,,,
2017,Fiji,Week36,0,9,,,,,,,
2017,Fiji,Week37,1,9,,,,,,,
2017,Fiji,Week38,0,13,,,,,,,
2017,Fiji,Week39,1,7,,,,,,,
2017,Fiji,Week40,0,6,,,,,,,
2017,Fiji,Week41,1,14,,,,,,,
2017,Fiji,Week42,1,18,,,,,,,
2017,Fiji,Week43,0,21,,,,,,,
2017,Fiji,Week44,0,12,,,,,,,
2017,Fiji,Week46,1,8,,,,,,,
2017,Fiji,Week47,0,4,,,,,,,
2017,Fiji,Week48,1,11,,0,8,0,0,,
2017,Fiji,Week49,,,,0,1,0,0,,
2017,Fiji,Week50,,,,,,,,,
2017,Fiji,Week51,,,,0,5,0,0,,
